iter	Passed	Remaining
0	0	73
1	1	89
2	2	85
3	3	85
4	4	84
5	5	89
6	6	87
7	7	88
8	8	86
9	9	84
10	10	84
11	11	86
12	12	84
13	13	83
14	14	81
15	15	79
16	16	78
17	16	76
18	17	75
19	18	73
20	19	73
21	20	71
22	21	70
23	21	68
24	22	68
25	23	66
26	24	66
27	25	64
28	26	64
29	26	62
30	27	62
31	28	61
32	29	59
33	30	59
34	31	58
35	32	57
36	33	56
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	44	44
50	45	43
51	45	42
52	46	41
53	48	40
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	61	26
70	63	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	86	2
97	87	1
98	88	0
99	89	0
